--- Scan at 2026-02-14 11:42:39 ---
PID: 14940 | Name: msedgewebview2.exe | Threads: 52
PID: 15304 | Name: msedgewebview2.exe | Threads: 21
PID: 15316 | Name: msedgewebview2.exe | Threads: 22
PID: 15340 | Name: msedgewebview2.exe | Threads: 8
PID: 15444 | Name: msedgewebview2.exe | Threads: 10
PID: 15624 | Name: msedgewebview2.exe | Threads: 26
PID: 15732 | Name: svchost.exe | Threads: 9
PID: 15736 | Name: ctfmon.exe | Threads: 12
PID: 15800 | Name: mc-extn-browserhost.exe | Threads: 39
PID: 16156 | Name: LockApp.exe | Threads: 14
PID: 16232 | Name: BlueStacksServices.exe | Threads: 25
PID: 16336 | Name: msedgewebview2.exe | Threads: 49
PID: 16396 | Name: msedgewebview2.exe | Threads: 25
PID: 16516 | Name: BlueStacksServices.exe | Threads: 29
PID: 16768 | Name: M365Copilot.exe | Threads: 37
PID: 16928 | Name: RuntimeBroker.exe | Threads: 3
PID: 16972 | Name: conhost.exe | Threads: 5
PID: 17028 | Name: HPMediaNetwork.exe | Threads: 7
PID: 17060 | Name: backgroundTaskHost.exe | Threads: 19
PID: 17316 | Name: AdskAccessUIHost.exe | Threads: 18
PID: 17404 | Name: NisSrv.exe | Threads: 4
PID: 17520 | Name: svchost.exe | Threads: 3
PID: 17692 | Name: svchost.exe | Threads: 17
PID: 17768 | Name: svchost.exe | Threads: 13
PID: 17972 | Name: CastSrv.exe | Threads: 4
PID: 18016 | Name: AdskAccessUIHost.exe | Threads: 14
PID: 18092 | Name: msedge.exe | Threads: 57
PID: 18144 | Name: svchost.exe | Threads: 5
PID: 18288 | Name: ms-teams.exe | Threads: 75
PID: 18320 | Name: msedgewebview2.exe | Threads: 10
PID: 18412 | Name: RtkAudUService64.exe | Threads: 15
PID: 18480 | Name: AppActions.exe | Threads: 7
PID: 18488 | Name: msedgewebview2.exe | Threads: 54
PID: 18532 | Name: msedgewebview2.exe | Threads: 24
PID: 18552 | Name: msedgewebview2.exe | Threads: 7
PID: 18612 | Name: AdskAccessService.exe | Threads: 10
PID: 18684 | Name: msedgewebview2.exe | Threads: 23
PID: 18968 | Name: AdskAccessUIHost.exe | Threads: 46
PID: 19044 | Name: msedge.exe | Threads: 7
PID: 19132 | Name: AdskAccessCore.exe | Threads: 19
PID: 19280 | Name: dllhost.exe | Threads: 8
PID: 19332 | Name: ChatGPT.exe | Threads: 52
PID: 19360 | Name: audiodg.exe | Threads: 5
PID: 19408 | Name: svchost.exe | Threads: 5
PID: 19428 | Name: SystemSettings.exe | Threads: 47
PID: 19472 | Name: chrome.exe | Threads: 8
PID: 19536 | Name: chrome.exe | Threads: 24
PID: 19548 | Name: chrome.exe | Threads: 20
PID: 19576 | Name: chrome.exe | Threads: 11
PID: 19892 | Name: conhost.exe | Threads: 2
PID: 20052 | Name: cmd.exe | Threads: 1
PID: 20060 | Name: cmd.exe | Threads: 1
PID: 20124 | Name: conhost.exe | Threads: 3
PID: 20164 | Name: svchost.exe | Threads: 11
PID: 20240 | Name: mc-extn-browserhost.exe | Threads: 39
PID: 20268 | Name: conhost.exe | Threads: 3
PID: 20280 | Name: browserhost.exe | Threads: 38
PID: 20284 | Name: urban-vpn-app.exe | Threads: 12
PID: 20312 | Name: msedgewebview2.exe | Threads: 7
PID: 20356 | Name: chrome.exe | Threads: 24
PID: 20672 | Name: svchost.exe | Threads: 5
PID: 20696 | Name: MidiSrv.exe | Threads: 3
PID: 20748 | Name: svchost.exe | Threads: 23
PID: 20940 | Name: chrome.exe | Threads: 19
PID: 21048 | Name: RuntimeBroker.exe | Threads: 4
PID: 21112 | Name: chrome.exe | Threads: 20
PID: 21120 | Name: conhost.exe | Threads: 3
PID: 21152 | Name: steamwebhelper.exe | Threads: 16
PID: 21232 | Name: chrome.exe | Threads: 28
PID: 21344 | Name: chrome.exe | Threads: 25
PID: 21588 | Name: softinfo.exe | Threads: 17
PID: 21600 | Name: chrome.exe | Threads: 20
PID: 21840 | Name: chrome.exe | Threads: 10
PID: 21848 | Name: chrome.exe | Threads: 11
PID: 22056 | Name: chrome.exe | Threads: 21
PID: 22072 | Name: RuntimeBroker.exe | Threads: 3
PID: 22104 | Name: msedge.exe | Threads: 26
PID: 22176 | Name: msedgewebview2.exe | Threads: 17
PID: 22204 | Name: Code.exe | Threads: 19
PID: 22212 | Name: Code.exe | Threads: 20
PID: 22228 | Name: OneDrive.exe | Threads: 44
PID: 22240 | Name: svchost.exe | Threads: 5
PID: 22360 | Name: backgroundTaskHost.exe | Threads: 12
PID: 22868 | Name: Code.exe | Threads: 24
PID: 22884 | Name: ShellExperienceHost.exe | Threads: 24
PID: 22980 | Name: ChatGPT.exe | Threads: 25
PID: 22992 | Name: chrome.exe | Threads: 26
PID: 23024 | Name: Code.exe | Threads: 17
PID: 23060 | Name: ms-teams.exe | Threads: 54
PID: 23128 | Name: msedgewebview2.exe | Threads: 30
PID: 23256 | Name: chrome.exe | Threads: 25
PID: 23560 | Name: HpccLauncher.exe | Threads: 3
PID: 23596 | Name: HP.HPX.exe | Threads: 9
PID: 23868 | Name: msedgewebview2.exe | Threads: 24
PID: 23956 | Name: XboxPcTray.exe | Threads: 9
PID: 24052 | Name: XboxPcAppFT.exe | Threads: 8
PID: 24152 | Name: msedgewebview2.exe | Threads: 21
PID: 24168 | Name: WhatsApp.Root.exe | Threads: 35
PID: 24420 | Name: msedgewebview2.exe | Threads: 9
PID: 24612 | Name: Cirkit_Create_Agent.exe | Threads: 11
PID: 24616 | Name: ApplicationFrameHost.exe | Threads: 6
PID: 25104 | Name: chrome.exe | Threads: 21
PID: 25164 | Name: msedgewebview2.exe | Threads: 10
PID: 25172 | Name: GenuineService.exe | Threads: 5
PID: 25320 | Name: chrome.exe | Threads: 26
PID: 25376 | Name: ONENOTEM.EXE | Threads: 2
PID: 25404 | Name: OneDrive.Sync.Service.exe | Threads: 15
PID: 25492 | Name: conhost.exe | Threads: 3
PID: 25796 | Name: BridgeCommunication.exe | Threads: 7
PID: 25904 | Name: Notepad.exe | Threads: 18
PID: 26140 | Name: chrome.exe | Threads: 19
PID: 26308 | Name: python.exe | Threads: 4
PID: 26328 | Name: cmd.exe | Threads: 1
PID: 26528 | Name: svchost.exe | Threads: 1
PID: 26756 | Name: chrome.exe | Threads: 23
PID: 27172 | Name: conhost.exe | Threads: 7
PID: 27596 | Name: chrome.exe | Threads: 18
PID: 27848 | Name: chrome.exe | Threads: 19
PID: 27916 | Name: chrome.exe | Threads: 20
PID: 28044 | Name: chrome.exe | Threads: 21
